,disease
82,"Meckel Syndrome, Type 1"
83,Gout
84,Gout
85,Gout
86,Plasmacytoma
87,Plasmacytoma
88,Plasmacytoma
89,Plasmacytoma
90,Henoch-Schoenlein Purpura
91,Henoch-Schoenlein Purpura
92,"Gaucher Disease, Type Ii"
93,"Gaucher Disease, Type Ii"
94,Klippel-Trenaunay-Weber Syndrome
95,Klippel-Trenaunay-Weber Syndrome
96,Visceral Leishmaniasis
97,Visceral Leishmaniasis
98,Hereditary Hemorrhagic Telangiectasia
99,Hereditary Hemorrhagic Telangiectasia
100,Histiocytosis
101,Sjogren Syndrome
102,Sjogren Syndrome
103,Sjogren Syndrome
104,Chromosome 2q35 Duplication Syndrome
105,Chromosome 2q35 Duplication Syndrome
106,Chromosome 2q35 Duplication Syndrome
107,Chromosome 2q35 Duplication Syndrome
108,Chromosome 2q35 Duplication Syndrome
109,"Acyl-Coa Dehydrogenase, Very Long-Chain, Deficiency of"
110,"Amyloidosis, Hereditary, Transthyretin-Related"
111,"Amyloidosis, Hereditary, Transthyretin-Related"
112,"Amyloidosis, Hereditary, Transthyretin-Related"
113,"Angioedema, Hereditary, Type I"
114,Oculodentodigital Dysplasia
115,Scoliosis
116,Scoliosis
117,Carpenter Syndrome 1
118,"Gaucher Disease, Type Iii"
119,"Gaucher Disease, Type Iii"
120,Hypogonadotropic Hypogonadism
121,Hypogonadotropic Hypogonadism
122,Hypogonadotropic Hypogonadism
123,Angioedema
124,Polydactyly
125,Polydactyly
126,Smith-Magenis Syndrome
127,Smith-Magenis Syndrome
128,Lacrimoauriculodentodigital Syndrome
129,Goodpasture Syndrome
130,Goodpasture Syndrome
131,Goodpasture Syndrome
132,Osteoporosis-Pseudoglioma Syndrome
133,Osteoporosis-Pseudoglioma Syndrome
134,Osteoporosis-Pseudoglioma Syndrome
135,Osteoporosis-Pseudoglioma Syndrome
136,"Osteogenesis Imperfecta, Type X"
137,"Osteogenesis Imperfecta, Type Xi"
138,"Osteogenesis Imperfecta, Type Xiii"
139,"Osteogenesis Imperfecta, Type Xvi"
140,"Osteogenesis Imperfecta, Type Xiv"
141,Pacman Dysplasia
142,"Osseous Heteroplasia, Progressive"
143,"Pseudohypoparathyroidism, Type Ia"
144,Chondrosarcoma
145,Pseudohypoparathyroidism
146,Codas Syndrome
147,Renal Osteodystrophy
148,Loeys-Dietz Syndrome 2
149,Melnick-Needles Syndrome
150,Geroderma Osteodysplasticum
151,"Osteogenesis Imperfecta, Type Xvii"
152,Rheumatoid Factor-Positive Polyarticular Juvenile Idiopathic Arthritis
153,Rheumatoid Factor-Positive Polyarticular Juvenile Idiopathic Arthritis
154,Oslam Syndrome
155,"Cortical Defects, Wormian Bones, and Dentinogenesis Imperfecta"
156,Frontonasal Dysplasia with Alar Clefts
157,Diastrophic Dysplasia
158,Diastrophic Dysplasia
159,"Chondrodysplasia, Blomstrand Type"
160,"Short Stature, Auditory Canal Atresia, Mandibular Hypoplasia, and Skeletal Abnormalities"
161,"Prader-Willi Habitus, Osteopenia, and Camptodactyly"
162,"Rheumatoid Arthritis, Systemic Juvenile"
163,"Rheumatoid Arthritis, Systemic Juvenile"
164,"Rheumatoid Arthritis, Systemic Juvenile"
165,"Rheumatoid Arthritis, Systemic Juvenile"
166,Keutel Syndrome
167,"Kenny-Caffey Syndrome, Type 2"
168,Bone Marrow Failure Syndrome 1
169,Microphthalmia/coloboma and Skeletal Dysplasia Syndrome
170,"Osteochondrodysplasia, Complex Lethal, Symoens-Barnes-Gistelinck Type"
171,Osteomesopyknosis
172,Night Blindness-Skeletal Anomalies-Dysmorphism Syndrome
173,"Osteogenesis Imperfecta with Opalescent Teeth, Blue Sclerae and Wormian Bones, but Without Fractures"
174,Mccune-Albright Syndrome
175,Mccune-Albright Syndrome
176,"Thanatophoric Dysplasia, Type I"
177,"Thanatophoric Dysplasia, Type I"
178,Camurati-Engelmann Disease
179,Camurati-Engelmann Disease
180,Campomelic Dysplasia
181,Kniest Dysplasia
182,Secondary Hypertrophic Osteoarthropathy
183,Primary Hypertrophic Osteoarthropathy
184,Blount's Disease
185,Antley-Bixler Syndrome Without Genital Anomalies or Disordered Steroidogenesis
186,Solitary Bone Cyst
187,Solitary Bone Cyst
188,Rheumatoid Factor-Negative Juvenile Idiopathic Arthritis
189,Nestor-Guillermo Progeria Syndrome
190,Multiple Epiphyseal Dysplasia Due to Collagen 9 Anomaly
191,"Spondylometaphyseal Dysplasia, Kozlowski Type"
192,Camptodactyly with Fibrous Tissue Hyperplasia and Skeletal Dysplasia
193,Rheumatoid Factor-Negative Juvenile Idiopathic Arthritis Without Anti-Nuclear Antibodies
194,Rheumatoid Factor-Negative Juvenile Idiopathic Arthritis with Anti-Nuclear Antibodies
195,Laryngeal Cartilage Cancer
196,Achondroplasia
197,Achondroplasia
198,Osteomyelitis
199,Osteomyelitis
200,Nail-Patella Syndrome
201,Nail-Patella Syndrome
202,"Craniometaphyseal Dysplasia, Autosomal Dominant"
203,Exostosis
204,Exostosis
205,Cole-Carpenter Syndrome
206,Osteoarthritis with Mild Chondrodysplasia
207,Tracheopathia Osteoplastica
208,Craniofacial Dysostosis with Diaphyseal Hyperplasia
209,"Achondroplasia, Severe, with Developmental Delay and Acanthosis Nigricans"
210,Ankylosis
211,Greig Cephalopolysyndactyly Syndrome
212,Al Amyloidosis
213,Al Amyloidosis
214,Aggressive Periodontitis
215,Aspartylglucosaminuria
216,Aspartylglucosaminuria
217,Amyloidosis Aa
218,Spondylolisthesis
219,Spondylolisthesis
220,Erdheim-Chester Disease
221,Microscopic Polyangiitis
222,Microscopic Polyangiitis
223,Hallermann-Streiff Syndrome
224,Cranioectodermal Dysplasia 1
225,Spondylitis
226,Hurler Syndrome
227,"Anemia, Sideroblastic, 1"
228,"Anemia, Sideroblastic, 1"
229,"Anemia, Sideroblastic, 1"
230,Felty Syndrome
231,Felty Syndrome
232,Felty Syndrome
233,Nail Disease
234,Nail Disease
235,Nail Disease
236,"Congenital Disorder of Glycosylation, Type Ia"
237,Seckel Syndrome
238,Seckel Syndrome
239,Multiple Sulfatase Deficiency
240,"Brachydactyly, Type B1"
241,Otosclerosis
242,Otosclerosis
243,Otosclerosis
244,Mitochondrial Dna Depletion Syndrome 4a
245,Mitochondrial Dna Depletion Syndrome 4a
246,"Acromesomelic Dysplasia, Maroteaux Type"
247,"Arthrogryposis, Distal, Type 3"
248,"Congenital Disorder of Glycosylation, Type Iic"
249,"Congenital Disorder of Glycosylation, Type Ii"
250,"Myopathy, Tubular Aggregate, 1"
251,Eosinophilic Fasciitis
252,Eosinophilic Fasciitis
253,Multicentric Carpotarsal Osteolysis Syndrome
254,Galactosialidosis
255,Degenerative Disc Disease
256,Hemarthrosis
257,Dyggve-Melchior-Clausen Disease
258,Weill-Marchesani Syndrome
259,Drug-Induced Lupus Erythematosus
260,Drug-Induced Lupus Erythematosus
261,Cat Eye Syndrome
262,Cat Eye Syndrome
263,"Brachydactyly, Type E1"
264,Rubinstein-Taybi Syndrome 1
265,Dermoid Cyst
266,Classic Ehlers-Danlos Syndrome
267,Proximal Symphalangism
268,"Achondrogenesis, Type Ii"
269,"Congenital Disorder of Glycosylation, Type Iia"
270,Palindromic Rheumatism
271,Palindromic Rheumatism
272,"Rhizomelic Chondrodysplasia Punctata, Type 1"
273,"Rhizomelic Chondrodysplasia Punctata, Type 1"
274,Hyper-Igd Syndrome
275,Gm2 Gangliosidosis
276,Gm2 Gangliosidosis
277,Nemaline Myopathy
278,"Acrofacial Dysostosis 1, Nager Type"
279,"Epiphyseal Dysplasia, Multiple, with Early-Onset Diabetes Mellitus"
280,"Epiphyseal Dysplasia, Multiple, with Early-Onset Diabetes Mellitus"
281,"Multiple Pterygium Syndrome, Lethal Type"
282,Clubfoot
283,Clubfoot
284,Juvenile Xanthogranuloma
285,Oligoarticular Juvenile Idiopathic Arthritis
286,"Arthrogryposis, Distal, Type 2b1"
287,Feingold Syndrome 1
288,Feingold Syndrome 1
289,Antisynthetase Syndrome
290,"Simpson-Golabi-Behmel Syndrome, Type 1"
291,"Brachydactyly, Type A2"
292,Sneddon Syndrome
293,Mitochondrial Dna Depletion Syndrome 7
294,"Mandibulofacial Dysostosis, Guion-Almeida Type"
295,"Brachydactyly, Type C"
296,Multiple Synostoses Syndrome
297,Radioulnar Synostosis
298,Radioulnar Synostosis
299,Systemic Capillary Leak Syndrome
300,Villonodular Synovitis
301,Villonodular Synovitis
302,Short-Rib Thoracic Dysplasia 12
303,Chondrodysplasia Punctata Syndrome
304,Chondrodysplasia Punctata Syndrome
305,"Meckel Syndrome, Type 3"
306,Chondromyxoid Fibroma
307,Nemaline Myopathy 3
308,"Meckel Syndrome, Type 6"
309,Synpolydactyly
310,Synpolydactyly
311,Arthrochalasia Ehlers-Danlos Syndrome
312,Rheumatic Fever-Related Antigen
313,Rheumatic Fever-Related Antigen
314,Rheumatic Fever-Related Antigen
315,Analbuminemia
316,"Congenital Disorder of Glycosylation, Type Iib"
317,"Congenital Disorder of Glycosylation, Type Ie"
318,Paramyotonia Congenita of Von Eulenburg
319,"Ehlers-Danlos Syndrome, Hypermobility Type"
320,Epicondylitis
321,Epicondylitis
322,Spondylocostal Dysostosis 5
323,Fibular Hypoplasia and Complex Brachydactyly
324,Split-Hand/foot Malformation 4
325,Split-Hand/foot Malformation 4
326,"Epiphyseal Dysplasia, Multiple, 4"
327,Hand-Foot-Genital Syndrome
328,Hand-Foot-Genital Syndrome
329,"Congenital Disorder of Glycosylation, Type Iij"
330,"Congenital Disorder of Glycosylation, Type Iih"
331,Spondylolysis
332,Spondylolysis
333,Hemifacial Hyperplasia
334,Hemifacial Hyperplasia
335,Hyaline Fibromatosis Syndrome
336,Hyaline Fibromatosis Syndrome
337,Yaws
338,Yaws
339,"Congenital Disorder of Glycosylation, Type Iim"
340,"Progressive External Ophthalmoplegia with Mitochondrial Dna Deletions, Autosomal Recessive 1"
341,"Congenital Disorder of Glycosylation, Type Iif"
342,Spondyloocular Syndrome
343,Myhre Syndrome
344,"Congenital Disorder of Glycosylation, Type Iii"
345,Isolated Split Hand-Split Foot Malformation
346,Isolated Split Hand-Split Foot Malformation
347,"Congenital Disorder of Glycosylation, Type Iid"
348,Eosinophilic Granuloma
349,Genitopatellar Syndrome
350,Chronic Rhinitis
351,Laurin-Sandrow Syndrome
352,Split Hand-Foot Malformation
353,Split Hand-Foot Malformation
354,"Multiple Joint Dislocations, Short Stature, and Craniofacial Dysmorphism with or Without Congenital Heart Defects"
355,"Meckel Syndrome, Type 4"
356,Hurler-Scheie Syndrome
357,"Meckel Syndrome, Type 2"
358,"Nail Disorder, Nonsyndromic Congenital, 1"
359,Letterer-Siwe Disease
360,"Congenital Disorder of Glycosylation, Type Ib"
361,Split-Hand/foot Malformation 3
362,Split-Hand/foot Malformation 3
363,Split-Hand/foot Malformation 3
364,"Vasculitis, Autoinflammation, Immunodeficiency, and Hematologic Defects Syndrome"
365,Hypermobility Syndrome
366,Psoriatic Juvenile Idiopathic Arthritis
367,Psoriatic Juvenile Idiopathic Arthritis
368,Cap Myopathy
369,Periodontal Ehlers-Danlos Syndrome
370,Pediatric Systemic Lupus Erythematosus
371,Pediatric Systemic Lupus Erythematosus
372,Pediatric Systemic Lupus Erythematosus
373,"Congenital Disorder of Glycosylation, Type Iik"
374,Shoulder Impingement Syndrome
375,Split-Hand/foot Malformation 2
376,Split-Hand/foot Malformation 2
377,"Congenital Disorder of Glycosylation, Type Ih"
378,Diaphanospondylodysostosis
379,"Meckel Syndrome, Type 5"
380,Mandibulofacial Dysostosis with Alopecia
381,Malignant Atrophic Papulosis
382,Split-Hand/foot Malformation 6
383,Split-Hand/foot Malformation 6
384,Cerebrocostomandibular Syndrome
385,Periostitis
386,Tarsal-Carpal Coalition Syndrome
387,Ruvalcaba Syndrome
388,Myelophthisic Anemia
389,Geleophysic Dysplasia
390,Olecranon Bursitis
391,Ochronosis
392,Nemaline Myopathy 5
393,Mastoiditis
394,Mastoiditis
395,"Nail Disorder, Nonsyndromic Congenital, 4"
396,"Nail Disorder, Nonsyndromic Congenital, 4"
397,Xanthoma Disseminatum
398,Lenz-Majewski Hyperostotic Dwarfism
399,Angioosteohypertrophic Syndrome
400,Severe Congenital Nemaline Myopathy
401,"Simpson-Golabi-Behmel Syndrome, Type 2"
402,Type Ii Mixed Cryoglobulinemia
403,Adenosine Monophosphate Deaminase 1 Deficiency
404,Trigonocephaly with Short Stature and Developmental Delay
405,"Congenital Disorder of Glycosylation, Type Id"
406,Autosomal Recessive Cutis Laxa Type Ii Classic Type
407,Autosomal Recessive Cutis Laxa Type Ii Classic Type
408,"Constricting Bands, Congenital"
409,"Syndactyly, Type V"
410,"Syndactyly, Type V"
411,"Syndactyly, Type V"
412,Neonatal Lupus Erythematosus
413,Split-Hand/foot Malformation 5
414,Split-Hand/foot Malformation 5
415,Mitochondrial Dna Depletion Syndrome 9
416,"Syndactyly, Type Iv"
417,Infantile Sialic Acid Storage Disease
418,Idiopathic Recurrent Pericarditis
419,"Congenital Disorder of Glycosylation, Type Ic"
420,"Sting-Associated Vasculopathy, Infantile-Onset"
421,Terminal Osseous Dysplasia
422,Undifferentiated Connective Tissue Disease
423,"Meckel Syndrome, Type 8"
424,Enthesitis-Related Juvenile Idiopathic Arthritis
425,Brachydactyly-Syndactyly Syndrome
426,Mitochondrial Dna Depletion Syndrome 2
427,Neonatal Marfan Syndrome
428,Cutaneous Polyarteritis Nodosa
429,"Congenital Disorder of Glycosylation, Type Ij"
430,Hypocalcemic Vitamin D-Dependent Rickets
431,Rubinstein-Taybi Syndrome 2
432,Synpolydactyly 1
433,Synpolydactyly 1
434,Mitochondrial Dna Depletion Syndrome 13
435,"Tibia, Hypoplasia or Aplasia of, with Polydactyly"
436,"Tibia, Hypoplasia or Aplasia of, with Polydactyly"
437,"Polydactyly, Preaxial Ii"
438,"Polydactyly, Preaxial Ii"
439,"Congenital Disorder of Glycosylation, Type Im"
440,Mitochondrial Dna Depletion Syndrome 5
441,"Melorheostosis, Isolated"
442,"Congenital Disorder of Glycosylation, Type Ik"
443,"Periodic Fever, Aphthous Stomatitis, Pharyngitis and Adenitis"
444,Intermediate Congenital Nemaline Myopathy
445,"Congenital Disorder of Glycosylation, Type Iil"
446,Mandibuloacral Dysplasia with Type B Lipodystrophy
447,"Congenital Disorder of Glycosylation, Type if"
448,Metaphyseal Anadysplasia
449,"Congenital Disorder of Glycosylation, Type Ix"
450,"Metaphyseal Dysplasia, Spahr Type"
451,Isolated Plagiocephaly
452,Al-Gazali-Bakalinova Syndrome
453,Al-Gazali-Bakalinova Syndrome
454,Acrocephalopolysyndactyly Type Iii
455,Hemifacial Microsomia with Radial Defects
456,"Nail Disorder, Nonsyndromic Congenital, 3"
457,"Congenital Disorder of Glycosylation, Type Iig"
458,Eaf
459,Wild Type Attr Amyloidosis
460,"Congenital Disorder of Glycosylation, Type Iu"
461,"Congenital Disorder of Glycosylation, Type Ig"
462,"Ehlers-Danlos Syndrome, Kyphoscoliotic Type, 2"
463,Weill-Marchesani Syndrome 2
464,Autosomal Recessive Sideroblastic Anemia
465,"Ehlers-Danlos Syndrome, Cardiac Valvular Type"
466,Kummell's Disease
467,B4galt7-Related Spondylodysplastic Ehlers-Danlos Syndrome
468,"Ectodermal Dysplasia, Ectrodactyly, and Macular Dystrophy Syndrome"
469,"Nail Disorder, Nonsyndromic Congenital, 10"
470,"Nail Disorder, Nonsyndromic Congenital, 10"
471,Fibrosing Mediastinitis
472,Mitochondrial Dna Depletion Syndrome 8a
473,Isolated Klippel-Feil Syndrome
474,Steel Syndrome
475,Steel Syndrome
476,"Congenital Disorder of Glycosylation, Type Iy"
477,Craniosynostosis with Fibular Aplasia
478,"Hypertelorism, Teebi Type"
479,Iniencephaly
480,Iniencephaly
481,Calvarial Hyperostosis
482,"Polydactyly, Preaxial Iv"
483,"Polydactyly, Preaxial Iv"
484,Omodysplasia 1
485,"Polydactyly, Preaxial I"
486,Kleeblattschaedel
487,Wildervanck Syndrome
488,"Ehlers-Danlos Syndrome, Spondylodysplastic Type, 3"
489,"Mesomelic Dysplasia, Kantaputra Type"
490,Benign Cephalic Histiocytosis
491,Sotos Syndrome 2
492,Mitochondrial Dna Depletion Syndrome 11
493,Humeroradial Synostosis
494,Frontonasal Dysplasia 2
495,Frontofacionasal Dysplasia
496,Oculomaxillofacial Dysostosis
497,"Arthrogryposis, Distal, Type 5d"
498,Van Den Ende-Gupta Syndrome
499,Heel Spur
500,Heel Spur
501,"Congenital Disorder of Glycosylation, Type Ip"
502,"Congenital Disorder of Glycosylation, Type Ir"
503,"Epiphyseal Dysplasia, Microcephaly, and Nystagmus"
504,"Congenital Disorder of Glycosylation, Type Iw"
505,Hypoglossia-Hypodactylia
506,"Congenital Disorder of Glycosylation, Type Iiq"
507,Joubert Syndrome with Jeune Asphyxiating Thoracic Dystrophy
508,Tibial Hemimelia
509,"Acrofacial Dysostosis, Catania Type"
510,Progressive Non-Infectious Anterior Vertebral Fusion
511,Crystal Arthropathies
512,"Digital Clubbing, Isolated Congenital"
513,"Angioedema, Hereditary, Type Iii"
514,Chromosome 8q22.1 Duplication Syndrome
515,Lamb-Shaffer Syndrome
516,"Syndactyly, Mesoaxial Synostotic, with Phalangeal Reduction"
517,"Syndactyly, Mesoaxial Synostotic, with Phalangeal Reduction"
518,Short-Rib Thoracic Dysplasia 13 with or Without Polydactyly
519,Necrobiotic Xanthogranuloma
520,"Spondyloepiphyseal Dysplasia, Maroteaux Type"
521,Bejel
522,Acrofacial Dysostosis Syndrome of Rodriguez
523,Ramer Ladda Syndrome
524,"Progressive External Ophthalmoplegia with Mitochondrial Dna Deletions, Autosomal Recessive 4"
525,"Progressive External Ophthalmoplegia with Mitochondrial Dna Deletions, Autosomal Recessive 2"
526,Marfanoid-Progeroid-Lipodystrophy Syndrome
527,"Camptodactyly, Tall Stature, and Hearing Loss Syndrome"
528,Aase-Smith Syndrome I
529,Aase-Smith Syndrome I
530,Hypertension and Brachydactyly Syndrome
531,Epiphysiolysis of the Hip
532,Epiphysiolysis of the Hip
533,Brachymorphism-Onychodysplasia-Dysphalangism Syndrome
534,"Camptodactyly Syndrome, Guadalajara, Type I"
535,Charlie M Syndrome
536,"Holoprosencephaly, Semilobar, with Craniosynostosis"
537,"Arthrogryposis, Distal, Type 4"
538,Adult-Onset Nemaline Myopathy
539,Igg4-Related Mesenteritis
540,Tetraamelia-Multiple Malformations Syndrome
541,"Progressive External Ophthalmoplegia with Mitochondrial Dna Deletions, Autosomal Dominant 6"
542,Combined Oxidative Phosphorylation Deficiency 24
543,Periarthritis
544,Isolated Scaphocephaly
545,"Arthrogryposis, Distal, Type 8"
546,Hashimoto-Pritzker Syndrome
547,"Spondyloepimetaphyseal Dysplasia, X-Linked"
548,"Nail Disorder, Nonsyndromic Congenital, 7"
549,Acrofrontofacionasal Dysostosis 1
550,"Syndactyly, Type Iii"
551,"Chondrodysplasia with Platyspondyly, Distinctive Brachydactyly, Hydrocephaly, and Microphthalmia"
552,"Spondyloepiphyseal Dysplasia, Stanescu Type"
553,Kenny-Caffey Syndrome
554,"Polydactyly, Postaxial, with Progressive Myopia"
555,Isolated Oxycephaly
556,Acrofrontofacionasal Dysostosis 2
557,Craniofacial Dyssynostosis with Short Stature
558,Isolated Brachycephaly
559,Seckel Syndrome 7
560,"Ehlers-Danlos Syndrome, Type V"
561,Feingold Syndrome 2
562,Spondylocostal Dysostosis with Anal Atresia and Urogenital Anomalies
563,Nievergelt Syndrome
564,Dk Phocomelia Syndrome
565,Pseudodiastrophic Dysplasia
566,Igg4-Related Sclerosing Cholangitis
567,Parietal Foramina with Cleidocranial Dysplasia
568,Juvenile Temporal Arteritis
569,Peripheral Dysostosis
570,Plica Syndrome
571,Acropectorovertebral Dysplasia
572,Dandy-Walker Malformation with Postaxial Polydactyly
573,Oculoauriculofrontonasal Syndrome
574,Scholte Syndrome
575,Generalized Eruptive Histiocytosis
576,"Femur, Unilateral Bifid, with Monodactylous Ectrodactyly"
577,Inflammatory Myopathy with Abundant Macrophages
578,Inflammatory Myopathy with Abundant Macrophages
579,Hughes-Stovin Syndrome
580,Intermittent Hydrarthrosis
581,Intermittent Hydrarthrosis
582,"Autoimmune Disease, Multisystem, Infantile-Onset, 1"
583,Femur-Fibula-Ulna Syndrome
584,"Spondylometaphyseal Dysplasia, Megarbane-Dagher-Melki Type"
585,"Acrofacial Dysostosis, Palagonia Type"
586,"Fibular Aplasia, Tibial Campomelia, and Oligosyndactyly Syndrome"
587,"Symphalangism, Distal"
588,Angioedema Induced by Ace Inhibitors
589,Adult Pulmonary Langerhans Cell Histiocytosis
590,Acrocraniofacial Dysostosis
591,Mandibulofacial Dysostosis with Macroblepharon and Macrostomia
592,Synpolydactyly 2
593,Synpolydactyly 2
594,Progressive Nodular Histiocytosis
595,"Microcephalic Primordial Dwarfism, Toriello Type"
596,Inflammatory Spondylopathy
597,Roifman-Chitayat Syndrome
598,"Branchial Arch Syndrome, X-Linked"
599,"Spondylometaphyseal Dysplasia, Algerian Type"
600,Splenogonadal Fusion with Limb Defects and Micrognathia
601,"Klippel-Feil Syndrome 4, Autosomal Recessive, with Nemaline Myopathy and Facial Dysmorphism"
602,Craniosynostosis and Dental Anomalies
603,Wild Type Abeta2m Amyloidosis
604,"Split-Hand with Congenital Nystagmus, Fundal Changes, and Cataracts"
605,Radial Hemimelia
606,Ulnar Hypoplasia
607,Mseleni Joint Disease
608,Chondrodysplasia-Pseudohermaphroditism Syndrome
609,Pelvis-Shoulder Dysplasia
610,Spondyloepiphyseal Dysplasia-Brachydactyly and Distinctive Speech
611,Metacarpal 4-5 Fusion
612,"Clavicle, Pseudarthrosis of, Congenital"
613,Patella Aplasia-Hypoplasia
614,Metaphyseal Dysplasia with Maxillary Hypoplasia with or Without Brachydactyly
615,Acropectoral Syndrome
616,X-Linked Chondrodysplasia Punctata 1
617,Igg4-Related Thyroid Disease
618,Monostotic Fibrous Dysplasia
619,Primary Localized Amyloidosis
620,Congenital Pseudoarthrosis of the Tibia
621,Isolated Trigonocephaly
622,Dysspondyloenchondromatosis
623,"Chondrodysplasia Punctata, Brachytelephalangic, Autosomal"
624,"Faciocardiomelic Dysplasia, Lethal"
625,"Spondylometaphyseal Dysplasia, Type A4"
626,"Mesomelic Dysplasia, Savarirayan Type"
627,Acrocephalopolysyndactyly Type Iv
628,"Brachydactyly, Preaxial, with Hallux Varus and Thumb Abduction"
629,"Brachydactyly, Preaxial, with Hallux Varus and Thumb Abduction"
630,"Camptodactyly Syndrome, Guadalajara, Type Ii"
631,"Kniest-Like Dysplasia, Lethal"
632,"Radioulnar Synostosis, Unilateral, with Developmental Retardation and Hypotonia"
633,Cerebellar Hypoplasia with Endosteal Sclerosis
634,"Lipodystrophy, Generalized, with Mental Retardation, Deafness, Short Stature, and Slender Bones"
635,Cutaneous Pseudolymphoma
636,Scalp Defects and Postaxial Polydactyly
637,"Spondyloepiphyseal Dysplasia, Kimberley Type"
638,Otoonychoperoneal Syndrome
639,Femoral Agenesis/hypoplasia
640,Epiphyseal Dysplasia Hearing Loss Dysmorphism
641,Craniofaciofrontodigital Syndrome
642,Mesomelic Limb Shortening and Bowing
643,"Histiocytosis, Progressive Mucinous"
644,"Spondylometaphyseal Dysplasia, X-Linked"
645,Humeroradioulnar Synostosis
646,Igg4-Related Pachymeningitis
647,"Brachydactyly, Combined B and E Types"
648,"Brachydactyly, Combined B and E Types"
649,Thoracolaryngopelvic Dysplasia
650,Thoracomelic Dysplasia
651,Igg4-Related Ophthalmic Disease
652,Patent Ductus Arteriosus and Bicuspid Aortic Valve with Hand Anomalies
653,Spondyloepimetaphyseal Dysplasia with Hypotrichosis
654,"Ulna and Fibula, Hypoplasia of"
655,Transient Neonatal Myasthenia Gravis
656,Transient Neonatal Myasthenia Gravis
657,Tabatznik Syndrome
658,Systemic Polyarteritis Nodosa
659,Mammary-Digital-Nail Syndrome
660,"Chondrodysplasia Punctata, Tibia-Metacarpal Type"
661,Split-Foot Deformity with Mandibulofacial Dysostosis
662,Papular Xanthoma
663,Long-Thumb Brachydactyly Syndrome
664,Ulnar/fibular Ray Defect and Brachydactyly
665,Ah Amyloidosis
666,"Rhizomelic Dysplasia, Patterson-Lowry Type"
667,"Polydactyly, Preaxial Iii"
668,"Membranous Cranial Ossification, Delayed"
669,Dysplastic Cortical Hyperostosis
670,Triphalangeal Thumbs with Brachyectrodactyly
671,Summitt Syndrome
672,Multiple Epiphyseal Dysplasia with Robin Phenotype
673,Symphalangism with Multiple Anomalies of Hands and Feet
674,Brachydactyly-Distal Symphalangism Syndrome
675,Cleidorhizomelic Syndrome
676,"Spondyloepimetaphyseal Dysplasia, Irapa Type"
677,Multiple Congenital Anomalies Syndrome with Cloverleaf Skull
678,Kallmann Syndrome with Spastic Paraplegia
679,Tetra-Amelia Syndrome
680,Craniorhiny
